"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"24",8200,6,0,0,0,-0.203099397155895,-0.017979615835426,-0.00522272413855718
"25",500,7,0,0,0,-0.136329082209829,0.125341250525323,0.10234436203565
"26",1100,7,0,0,0,-0.193955619479986,0.0170272246524179,0.00556187912212791
"27",3000,7,0,0,0,-0.172625636746306,-0.260481489956673,0.0151728423818687
"28",8200,7,0,0,0,-0.182038055664378,0.0283101288484602,0.0185311503004042
"29",500,8,0,0,0,-0.164672861890427,-0.033353567692916,0.0912367317461977
"30",1100,8,0,0,0,-0.247879382106883,-0.061361789244275,-0.0400455224216512
"31",3000,8,0,0,0,-0.215873891889776,-0.04367375932592,-0.0446602214914145
"32",8200,8,0,0,0,-0.185828869072959,-0.00813150334247181,0.00798751406742593
"33",500,9,0,0,0,-0.267188388621441,0.0403827151487024,-0.0834347842174763
"34",1100,9,0,0,0,-0.18983442543255,0.0595941941785709,-0.0075397048494461
"35",3000,9,0,0,0,-0.140322238805698,-0.233326034325428,0.0526994620709846
"36",8200,9,0,0,0,-0.178320706608055,0.0032655798598018,0.00820984867046715
"37",500,10,0,0,0,-0.187656502028013,-0.371012015160338,-0.0212345148482743
"38",1100,10,0,0,0,-0.178820415782406,0.0290622207581732,0.0232687379451719
"39",3000,10,0,0,0,-0.189046595157796,-0.0508557093934042,-0.0150627995051689
"40",8200,10,0,0,0,-0.222400455388871,-0.046242407183866,-0.0210519028964957
"41",500,11,0,0,0,-0.238638157282556,-0.114551270764047,-0.090664843041823
"42",1100,11,0,0,0,-0.206073526616421,-0.160800439533739,-0.0350655109472119
"43",3000,11,0,0,0,-0.211179527692597,-0.0682780410836119,-0.0298205406441889
"44",8200,11,0,0,0,-0.183458537538129,0.0314195067676151,0.0195765423575442
"45",500,12,0,0,0,-0.147021018079839,0.110180685273899,0.102938973830626
"46",1100,12,0,0,0,-0.24078165247061,-0.177411875924649,-0.0284765405713153
"47",3000,12,0,0,0,-0.19364990885172,-0.335468166396864,0.011521334200393
"48",8200,12,0,0,0,-0.177607495350754,0.0428159974855495,0.016777891977577
"49",500,13,0,0,0,-0.190873112877441,-0.326033201932759,0.072169842489529
"50",1100,13,0,0,0,-0.20248942013491,-0.179900200311288,0.00472651407165281
"51",3000,13,0,0,0,-0.213977716775548,-0.133860226845822,0.000404550986512708
"52",8200,13,0,0,0,-0.214428937059061,-0.136356740200725,-0.0219743187307159
"53",500,14,0,0,0,-0.186419224092895,-0.180503140904294,-0.0174186736707044
"54",1100,14,0,0,0,-0.210652700002054,0.0152897729730552,0.00485527122781115
"55",3000,14,0,0,0,-0.184285538988713,0.0162670292758404,-0.0115781727167327
"56",8200,14,0,0,0,-0.188502763136326,0.00579535260100039,-0.0073641101610612
"57",500,15,0,0,0,-0.192436274898979,-0.0791597251662883,0.100115679956767
"58",1100,15,0,0,0,-0.203475568043802,-0.461088005911721,-0.0158894273372916
"59",3000,15,0,0,0,-0.276455516492872,-0.0815108612171042,-0.0805015066762529
"60",8200,15,0,0,0,-0.192695165424128,-0.0275945787308687,-0.000525126375252483
"61",500,16,0,0,0,-0.169815371576123,0.0854910942798182,0.0260120463904709
"62",1100,16,0,0,0,-0.201244508364927,0.023688536935663,-0.0129858512481386
"63",3000,16,0,0,0,-0.198629768084172,0.00599374526572305,-0.0201251284698291
